日期,数值
20120504,58338
20120507,57648
20120508,57715
20120509,57453
20120510,57817
20120511,57386
20120514,56334
20120515,55978
20120516,54654
20120517,55621
20120518,55395
20120521,56029
20120522,55979
20120523,55142
20120524,55242
20120525,55480
20120528,56297
20120529,56161
20120530,55397
20120531,54642
20120601,54428
20120604,52847
20120605,53552
20120606,53866
20120607,53696
20120608,53072
20120611,54391
20120612,53771
20120613,54098
20120614,54079
20120615,55062
20120618,55162
20120619,54851
20120620,55104
20120621,54236
20120625,54202
20120626,53774
20120627,53854
20120628,54315
20120629,55326
20120702,55432
20120703,56145
20120704,56011
20120705,56030
20120706,55757
20120709,55206
20120710,55076
20120711,55169
20120712,55160
20120713,55796
20120716,56192
20120717,55964
20120718,55791
20120719,56213
20120720,55958
20120723,54484
20120724,54595
20120725,53756
20120726,54276
20120727,54845
20120730,54878
20120731,55084
20120801,54851
20120802,54677
20120803,54131
20120806,54502
20120807,54754
20120808,54708
20120809,55184
20120810,54612
20120813,54442
20120814,54619
20120815,54654
20120816,54357
20120817,54794
20120820,54787
20120821,54981
20120822,55409
20120823,56045
20120824,55684
20120827,55892
20120828,55525
20120829,55316
20120830,55732
20120831,55508
20120903,56202
20120904,56047
20120905,55772
20120906,56267
20120907,56699
20120910,58152
20120911,58737
20120912,58344
20120913,58190
20120914,60388
20120917,59819
20120918,59612
20120919,60467
20120920,59345
20120921,59747
20120924,59103
20120925,59175
20120926,59152
20120927,59101
20120928,59782
20121008,58980
20121009,59264
20121010,58885
20121011,58992
20121012,58985
20121015,58581
20121016,58807
20121017,58662
20121018,59123
20121019,58480
20121022,57910
20121023,57325
20121024,57525
20121025,57237
20121026,56720
20121029,56646
20121030,56498
20121031,56853
20121101,57096
20121102,56634
20121105,55811
20121106,56063
20121107,56595
20121108,55716
20121109,55924
20121112,55674
20121113,55453
20121114,55907
20121115,55864
20121116,55735
20121119,56050
20121120,56334
20121121,55885
20121122,56040
20121123,56118
20121126,56244
20121127,56231
20121128,56205
20121129,56378
20121130,57277
20121203,57530
20121204,57254
20121205,57733
20121206,57373
20121207,57416
20121210,57961
20121211,57870
20121212,57940
20121213,57582
20121214,57812
20121217,58089
20121218,57862
20121219,57636
20121220,56874
20121221,56750
20121224,56842
20121225,57067
20121226,57117
20121227,57466
20121228,57598
20121231,57786
20130104,58243
20130107,58141
20130108,58207
20130109,58229
20130110,58661
20130111,58352
20130114,58442
20130115,57663
20130116,57917
20130117,57715
20130118,58364
20130121,58190
20130122,58716
20130123,58616
20130124,58468
20130125,58678
20130128,58490
20130129,58702
20130130,59123
20130131,59534
20130201,59545
20130204,59818
20130205,59638
20130206,59719
20130207,59580
20130208,59584
20130218,58823
20130219,58732
20130220,58621
20130221,57606
20130222,57630
20130225,57269
20130226,57102
20130227,57464
20130228,57635
20130301,56715
20130304,56318
20130305,56934
20130306,56691
20130307,56519
20130308,56716
20130311,56457
20130312,56340
20130313,56829
20130314,56783
20130315,57117
20130318,55259
20130319,54969
20130320,55393
20130321,55809
20130322,55659
20130325,55906
20130326,55766
20130327,55582
20130328,55338
20130329,54858
20130401,53754
20130402,54504
20130403,54052
20130408,54624
20130409,55118
20130410,55170
20130411,54940
20130412,55180
20130415,53460
20130416,52970
20130417,52310
20130418,50610
20130419,50770
20130422,49100
20130423,49180
20130424,50640
20130425,51330
20130426,51760
20130502,49670
20130503,51140
20130506,52910
20130507,52290
20130508,53100
20130509,53050
20130510,53490
20130513,53480
20130514,52760
20130515,52110
20130516,52230
20130517,53050
20130520,52590
20130521,53480
20130522,53650
20130523,52390
20130524,52940
