time,open,high,low,close,vol
 2012/03/28,802.5,803.88,773.86,775.71,3172109
 2012/03/29,773.94,776.48,760.4,763.22,2380408
 2012/03/30,764.87,772.16,761.11,768.44,1906247
 2012/04/05,765.85,787.17,763.86,785.24,2566896
 2012/04/06,784.34,790.89,778.7,789.03,2364706
 2012/04/09,782.56,784.99,775.44,775.75,1954237
 2012/04/10,773.74,784.75,766.16,784.51,2599575
 2012/04/11,777.55,790.19,776.46,783.78,2033538
 2012/04/12,785.56,808.01,785.56,805.02,4232265
 2012/04/13,805.96,815.47,804.15,811.29,4426590
 2012/04/16,805.42,814.51,803.83,809.2,2734654
 2012/04/17,808.49,811.22,795.04,796.01,2333419
 2012/04/18,799.9,819.58,798,818.72,4018203
 2012/04/19,818.88,822.35,816.62,818.05,2667506
 2012/04/20,818.11,825.47,814.82,823.77,3230929
 2012/04/23,822.97,825.4,814.62,816.37,3009850
 2012/04/24,812.85,830.13,800.37,817.52,3720051
 2012/04/25,814.39,830.19,812.8,827.22,5089207
 2012/04/26,828.66,841.37,825.57,832.51,4926108
 2012/04/27,831.11,835.6,828.74,832.24,3047902
 2012/05/02,844.49,873.87,837.03,863.7,7345048
 2012/05/03,860.77,869.58,859.38,865.55,5236345
 2012/05/04,863.81,870.96,855.74,868.71,4734400
 2012/05/07,862.03,864.01,851.86,861.81,4772525
 2012/05/08,860.42,860.94,849.44,857.67,3993169
 2012/05/09,849.6,849.6,837.17,840.21,3927782
 2012/05/10,838.97,845.98,838.36,841.24,2937455
 2012/05/11,839.31,850.1,833.04,833.94,3449580
 2012/05/14,841.52,841.82,822.69,823.3,3431298
 2012/05/15,814.98,817.5,808.43,815.84,3358366
 2012/05/16,812.21,813.42,804.37,804.64,2683286
 2012/05/17,805.27,818.98,805.27,817.17,2714274
 2012/05/18,810.92,812.94,800.99,803.32,2399238
 2012/05/21,801.58,822.91,801.21,816.18,3444041
 2012/05/22,820.83,829.05,818.19,827.94,3525820
 2012/05/23,823.7,829.4,815.21,819.97,3038619
 2012/05/24,820.8,831.01,816.14,818.25,2601708
 2012/05/25,817.98,819.38,810.05,811.89,1946419
 2012/05/28,803.11,826.23,800.05,826.01,3206657
 2012/05/29,825.79,844.75,825.69,840.11,4870719
 2012/05/30,839.51,840.71,829.12,831.91,2696126
 2012/05/31,824.2,827.52,817.08,821.06,2718850
 2012/06/01,820.53,826.67,811.24,814.76,2411792
 2012/06/04,800.85,800.85,783.97,783.97,3835619
 2012/06/05,786.11,791.76,782.67,784.4,2328076
 2012/06/06,785.37,788.24,767.98,771.7,2752413
 2012/06/07,779.93,780.95,763.8,765.87,2371735
 2012/06/08,772.19,772.2,761.22,763.03,2376195
 2012/06/11,766.88,779.46,760.28,778.06,2321318
 2012/06/12,770.19,770.31,758.44,759.4,2065057
 2012/06/13,762.47,764.63,749.88,763.41,2869684
 2012/06/14,758.05,758.05,748.46,749.57,2814109
 2012/06/15,753.24,756.71,741.85,755.55,2745393
 2012/06/18,758.58,769.92,758.35,763.11,2495754
 2012/06/19,761.21,761.21,753.68,754.39,2001194
 2012/06/20,756.67,761.27,754.35,755.68,1889125
 2012/06/21,750.27,750.27,732.47,733.32,3144557
 2012/06/25,728.64,728.64,702.23,702.74,2945797
 2012/06/26,698.94,703.86,694.89,702,2195698
 2012/06/27,700.15,705.9,695.66,696.53,2642703
 2012/06/28,698.68,700.91,687.77,688.13,2660344
 2012/06/29,686.17,700.83,682.65,699.86,2703175
 2012/07/02,712.77,714.77,693.31,696.01,3481668
 2012/07/03,696.89,702.62,687.6,696.81,2762561
 2012/07/04,702.72,711.54,702.72,706.63,3125161
 2012/07/05,700.92,701.34,688.41,696.3,2442408
 2012/07/06,698.28,710.87,688.94,707.71,3156335
 2012/07/09,699.74,702.21,678.02,678.48,3156725
 2012/07/10,677.49,681.3,672.28,675.65,2320705
 2012/07/11,674.08,686.62,674.01,684.58,2271009
 2012/07/12,682.33,723.17,679.39,716.4,6097937
 2012/07/13,712.89,721.1,707.2,709.98,4602723
 2012/07/16,710.07,710.07,700.13,700.3,3911542
 2012/07/17,698.93,710.94,698.92,707.41,3317914
 2012/07/18,706.36,714.39,699.27,714.3,3514746
 2012/07/19,712.88,720.39,710.34,711.6,3836451
 2012/07/20,712.2,712.87,697.84,699.31,2715586
 2012/07/23,693.3,694.49,683.12,687.46,3028865
 2012/07/24,682.61,695.72,682.28,689.83,2775756
 2012/07/25,687.35,689.71,679.15,679.5,1963276
 2012/07/26,680.02,688.46,678.34,679.96,2044613
 2012/07/27,682.83,692.96,681.75,686.4,3223257
 2012/07/30,686.96,697.28,686.95,689.45,3368413
 2012/07/31,689.13,692.06,676.47,681.81,2870453
 2012/08/01,682.09,697.12,682.08,693.04,3148843
 2012/08/02,691.11,692.15,681.58,683.73,3059629
 2012/08/03,684.72,696.25,683.31,695.16,3065290
 2012/08/06,693.37,709.84,692.49,707.97,4046548
 2012/08/07,707,708.05,703.68,707.5,3806653
 2012/08/08,709.73,721.45,707.05,710.62,5481519
 2012/08/09,709.13,712.74,703.21,711.67,3766120
 2012/08/10,710.27,711.5,701.16,703.06,2774179
 2012/08/13,701.35,701.35,687.91,689.7,2892414
 2012/08/14,689.26,696.39,686.39,696.08,3141711
 2012/08/15,694.13,694.13,684.11,685.45,2996666
 2012/08/16,685.67,687.39,682.31,683.21,2013835
 2012/08/17,683.14,686.68,679.06,684.17,1966310
 2012/08/20,678.64,682.6,674.12,680.71,2406217
 2012/08/21,680.22,687.45,679.24,684.26,2431368
 2012/08/22,684.14,686.03,674.82,678.1,2384963
 2012/08/23,679.09,686.99,678.95,685.31,2491466
 2012/08/24,682.64,682.7,667.2,667.46,2865880
 2012/08/27,668.09,668.39,645.49,645.7,2171156
 2012/08/28,644.62,658.09,644.36,649.91,1819179
 2012/08/29,647.63,652.98,637.32,637.5,2038551
 2012/08/30,633.56,641.74,631.94,639.32,2081944
 2012/08/31,637.32,644.31,631.97,635.83,1361200
 2012/09/03,635.82,646.15,634.32,641.43,2668522
 2012/09/04,641.39,643.94,633.98,636.03,2977413
 2012/09/05,632.69,634.75,622.25,625.21,3219358
 2012/09/06,629.05,634.47,627.42,634.47,3134332
 2012/09/07,640.19,683.93,640.19,673.6,8237007
 2012/09/10,674.53,682.47,669.31,678.38,7132107
 2012/09/11,673.82,673.82,664.71,671.84,4563337
 2012/09/12,677.06,683.59,671.55,680.3,5022910
 2012/09/13,679.88,681.37,672.3,672.3,3470063
 2012/09/14,686.97,692.84,677.68,684.4,5756954
 2012/09/17,683.74,683.74,663.16,663.35,3672334
 2012/09/18,660.26,660.26,647.53,649.11,3111082
 2012/09/19,647.96,653.22,645.01,653.22,2348467
 2012/09/20,649.16,649.16,631.12,631.45,2789662
 2012/09/21,630.64,649.51,630.54,640.23,3131931
 2012/09/24,634.18,657.1,628.25,651.1,3544529
 2012/09/25,646.6,653.41,643.63,649.22,2667312
 2012/09/26,648.18,654.34,642.94,644.53,3120111
 2012/09/27,643.59,678.66,643.58,673.11,5780092
 2012/09/28,664.53,686.21,664.31,685.17,5638281
 2012/10/08,682.92,686.44,667.3,672.67,3355952
 2012/10/09,677.04,693.11,676.6,686.21,4683738
 2012/10/10,685.67,690.79,683.02,687.71,4443479
 2012/10/11,685.64,685.64,676.17,677.09,3522176
 2012/10/12,680.57,686.96,671.47,681.97,3671199
 2012/10/15,679.75,679.75,669.18,674.72,2751311
 2012/10/16,675.23,680.15,670.46,672.62,2821585
 2012/10/17,675.99,684.01,667.26,677.42,2699746
 2012/10/18,678.54,692.06,678.54,690.88,4239217
 2012/10/19,689.91,693.64,685.88,687.6,2900275
 2012/10/22,683.82,694.11,681.62,692.96,2674752
 2012/10/23,691.47,693.01,681.01,681.56,3086546
 2012/10/24,676.3,682.47,674.45,678.73,2577083
 2012/10/25,677.86,682.66,669.01,669.26,3056598
 2012/10/26,669.08,669.59,655.42,656.95,3031788
 2012/10/29,655.59,658.98,648.87,652.16,1801598
 2012/10/30,653.47,663.45,653.47,656.61,2140956
 2012/10/31,655.9,663.16,654.13,662.81,2348447
 2012/11/01,662.6,675.89,662.59,672.57,3218480
 2012/11/02,673.3,677.09,669.36,673.88,2328978
 2012/11/05,673.78,688.3,673.77,679.88,5395383
 2012/11/06,679.41,680.93,664.92,673.37,4327758
 2012/11/07,673.92,678.74,667.98,672.49,2923173
 2012/11/08,665.29,665.29,651.79,652.35,3204312
 2012/11/09,651.69,654.45,649.17,651.96,1917286
 2012/11/12,653.88,659.21,651.06,656.71,1719697
 2012/11/13,657.18,657.18,643.69,643.69,2341520
 2012/11/14,644.41,649.09,642.18,648.4,2289115
 2012/11/15,644.32,644.68,632.8,633.5,2182203
 2012/11/16,632.57,634.66,618.2,623.1,2454731
 2012/11/19,622.79,626.91,620.24,625.91,1831880
 2012/11/20,628.82,630.49,618.06,618.3,1872351
 2012/11/21,619.27,629.63,615.79,629.53,2427323
 2012/11/22,625.85,627.16,620.26,622.95,3168357
 2012/11/23,626.46,632.13,623.4,627.5,2960481
 2012/11/26,625.48,626.09,618.93,620.11,3032591
 2012/11/27,617.28,618.88,612.59,613.06,3253485
 2012/11/28,610.98,614.03,609.8,611.85,2821289
 2012/11/29,611.76,613.61,607.31,607.31,2330057
 2012/11/30,606.78,612.66,606.12,610.74,2447169
 2012/12/03,611.06,612.54,592.12,592.35,2430858
 2012/12/04,592.05,599.09,589.85,597.64,2807844
 2012/12/05,597.4,625.85,594.99,618.59,5765428
 2012/12/06,617.66,621.3,612.77,616.86,4015921
 2012/12/07,619.29,642.51,616.28,636.44,6214554
 2012/12/10,639.06,643.79,635.72,641.47,4642971
 2012/12/11,638.73,652.04,633.7,643.12,5127720
 2012/12/12,641.43,644.37,636.24,640.89,3431195
 2012/12/13,639.61,640.93,631.5,633.52,2534320
 2012/12/14,635.33,661.68,634.51,661.12,6211478
 2012/12/17,660.91,696.43,660.91,675.21,8224415
 2012/12/18,673.29,686.78,668.39,674.82,5394739
 2012/12/19,675,686.91,674.81,681.81,4716567
 2012/12/20,678.61,686.25,670.37,683.79,4558835
 2012/12/21,687.53,706.4,680.26,680.59,7606404
 2012/12/24,681.44,690.04,676.99,680.4,4169445
 2012/12/25,679.09,705.08,672.94,701.02,7013199
 2012/12/26,700.28,704.62,698.18,702.77,4855791
 2012/12/27,707.22,717.01,704.42,704.67,7882251
 2012/12/28,706.33,713.64,700.98,712.86,5257452
 2012/12/31,713.62,723.77,711.81,723.01,4947101
 2013/01/04,731.49,733.4,709.68,717.32,5470504
 2013/01/07,716.03,725.82,713.48,719.89,4750516
 2013/01/08,717.34,717.99,704.24,713.41,4573717
 2013/01/09,711.45,731.01,709.5,730.72,9141135
 2013/01/10,729.31,734.81,716.83,722.07,8900735
 2013/01/11,721.81,724.29,701.18,703.29,5580294
 2013/01/14,698.39,725.09,697.61,722.57,7013799
 2013/01/15,722.37,730.22,720.42,725.86,7657595
 2013/01/16,726.44,738.03,716.87,723.88,7637031
 2013/01/17,722.66,724.56,710.09,713.72,4572089
 2013/01/18,722.77,732.19,718.3,728.06,5900887
 2013/01/21,730.76,745.28,723.76,740.36,9675181
 2013/01/22,738.6,738.6,723.17,725.76,6631139
 2013/01/23,723.11,725.36,709.74,717.41,6363555
 2013/01/24,717.29,725.57,695.84,700.33,7067991
 2013/01/25,702.27,705.42,698.8,699.75,3488129
 2013/01/28,701.54,715.3,701.54,715.18,4291317
 2013/01/29,715.84,727.12,715.84,722.86,6343212
 2013/01/30,725.86,729.92,720.99,726.28,5092912
 2013/01/31,724.37,738.33,722.11,732.27,5979540
 2013/02/01,730.77,736.39,726.3,735.57,4938009
 2013/02/04,739.18,764.85,738,758.34,11154800
 2013/02/05,755.8,775.79,753.6,766.3,10468190
 2013/02/06,764.25,764.25,756.05,757.16,5664353
 2013/02/07,756.36,758.94,743.99,750.07,4768744
 2013/02/08,749.23,758.72,749.23,753.32,3639596
 2013/02/18,755.12,756.18,736.12,737.9,3813977
 2013/02/19,737.93,739.54,714.49,716.93,5411418
 2013/02/20,716.9,723.42,715.65,723.26,3595409
 2013/02/21,715.45,715.45,685.85,689.81,5820760
 2013/02/22,689.17,691.95,683.7,686.18,2915390
 2013/02/25,688.81,692.21,683.45,685.29,2513513
 2013/02/26,679.69,683.08,669.86,670.2,3559196
 2013/02/27,672.81,680.6,672.07,677.99,2571233
 2013/02/28,681.85,695.85,677.28,695.62,4157726
 2013/03/01,694.29,694.36,678.03,686.83,4073332
 2013/03/04,675.5,677.17,650.13,652.54,6424278
 2013/03/05,654.18,659.24,650.89,658.4,2957932
 2013/03/06,662.53,663.36,653.68,660.45,3229221
 2013/03/07,657.05,680.92,651.17,671.39,6085344
 2013/03/08,668.34,672.55,661.16,667.45,4122043
 2013/03/11,665.35,665.35,656.88,658.93,4136968
 2013/03/12,658.7,665.44,646.43,651.46,5237521
 2013/03/13,651.22,656.43,646.78,650.57,3615431
 2013/03/14,647.84,655.87,645.44,653.71,4360973
 2013/03/15,652.39,659.81,644.47,650.98,4384363
 2013/03/18,647.72,649.78,639.11,639.17,3582874
 2013/03/19,640.77,646.89,638.27,644.39,3308744
 2013/03/20,644.93,658.17,643.73,658.08,4347872
 2013/03/21,658.21,662.94,654.71,657.65,3972200
 2013/03/22,656.04,658.67,654.43,657.4,3566747
 2013/03/25,662.07,664.53,655.6,657.3,2854247
 2013/03/26,655.86,655.87,643.31,646.95,2830197
 2013/03/27,648.07,652.72,643.09,645.86,2678450
 2013/03/28,641.76,641.76,631.92,636.04,3503881
 2013/03/29,638.36,639.57,633.82,634.08,2152555
 2013/04/01,630.99,635.63,630.75,632.49,1995340
 2013/04/02,633.46,638.7,630.22,632.58,2099061
 2013/04/03,633.89,638.42,630.11,632.63,1911016
